,DOI,Title,Authors,Year,Source Title,Volume,Issue,Abstract,Author Keywords,Scopus Keywords,WOS Keywords,Source
175,10.1080/23748834.2024.2390274,Particulate matter pollution in central Bangkok: assessing outdoor workers’ perceptions and exposure,Archer D.; Bhatpuria D.; Nikam J.; Taneepanichskul N.,2024,,,,"Air pollution is estimated to cause 32,300 deaths annually in Thailand, with PM2.5 exposure accounting for much of this. However, not everyone bears the burden of exposure to air pollution equally, and outdoor workers are particularly exposed. In this study, we sought to better understand how local residents and outdoor workers in central Bangkok experience air pollution in their day-to-day life, through a survey of their symptoms and mitigation measures. Respondents were aware of the risks of air pollution but felt there was little they could do about their exposure to it. We also asked a subset of respondents to carry a portable PM2.5 sensor during their working day, to assess which occupations and locations faced highest pollution exposure. We found that all workers, including those who didn’t always work outdoors, faced exposure that exceeded both the WHO and Thailand 24-hour PM2.5 standards, at 43.94 μg/m3 on average. These findings demonstrate that workers face harmful levels of daily exposure and should be provided with appropriate mitigating measures by their employers to limit their exposure, and targeted health screenings. At a city and national scale, concrete action is needed to reduce sources of pollution. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Air pollution; Bangkok; informal labour; particulate matter; Thailand,,,Scopus
185,10.1108/IJCHM-05-2022-0632,Particulate matter source attribution and restaurant mitigation behavioral intentions: an application of attribution theory,"Jang, E; Yoo, JJE; Cho, M",2023,INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT,35.0,5,"Purpose As commercial cooking is known as a source that generates great concentrations of particulate matter (PM) emissions first accumulating in kitchens before spreading to dining areas, this study aims to explore how to improve restaurants' efforts to reduce PM emissions by the application of attribution theory. Design/methodology/approach Data were obtained from restaurant managers operating their business in South Korea, considered to be qualified to provide accurate information regarding the survey questions. A scenario-based experimental approach was used to test the hypothesized relationships. Cognitive and emotional risk judgements were assessed for its potential interaction effects on the relationships between restaurant perceptions of PM source attributions, preventions attitudes and mitigation behavioral intentions. Findings Results revealed that perceptions of PM main sources were attributed to internal rather than external factors, which improved mitigation behavioral intentions. Such an effect was partially mediated through PM pollution prevention attitudes. Additionally, when applying external source attributions, PM mitigation behavioral intentions were improved by cognitive risk judgements, and PM prevention attitudes were enhanced by affective risk judgements. Research limitations/implications Results assist restaurants to better understand their operations that may be emitting significant levels of PM, thereby encouraging them to set more ambitious and effective PM mitigation operational guidelines for their employees and diners. Originality/value This study provides a fundamental baseline of management perceptions regarding PM emissions related to restaurant mitigation behavioral intentions. Results are useful in designing appropriate communication strategies addressing restaurant PM pollution issues to improve internal restaurant practices regarding clean air quality.",Attribution theory; Particulate matter; Cognitive and affective risk judgements; Commercial cooking; Mitigation behavioral intentions; Risk attribution,,RISK PERCEPTION; CLIMATE-CHANGE; COOKING; POLLUTION; BELIEFS,WOS
290,10.3390/ijerph181910225,Pedestrianization Impacts on Air Quality Perceptions and Environment Satisfaction: The Case of Regenerated Streets in Downtown Seoul,"Kim, U; Lee, J; He, SY",2021,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,18.0,19,"Previous studies have investigated the increased volume of pedestrians to establish success rates of the pedestrian-friendly policy after a street redesign intervention. However, few studies have focused on the effect of street regeneration on air quality perception and user satisfaction. The influence of the physical environment on street vitality may vary, depending on area context and regional factors. A comprehensive understanding of effective interventions could increase pedestrians' satisfaction with their walking environment. This study examines the effect of pedestrianization on individuals' air quality perception and satisfaction, based on three regenerated streets in Seoul, Korea. We analyzed data from 672 questionnaires administered after the pedestrianization project. We used a subset of variables in a binary logistic regression model to understand general determinants of user satisfaction toward their walking environment. Our case study contributes to the verification of pedestrianization effects on air quality perceptions. Results show that overall satisfaction could be acquired through positive perceptions of air quality, as achieved through pedestrianization of streets. Moreover, pedestrian satisfaction varies according to the purpose, activities and health-related behaviors and attitudes. The interrelationships between environmental health, activity, satisfaction and quality of life provide design insights to consider when implementing pedestrianization projects in the future.",pedestrianization; walking environment; air-quality perception; satisfaction; greenway,,URBAN DESIGN QUALITIES; BUILT ENVIRONMENT; WALKING; TRAVEL; CITY; WALKABILITY; ATTRIBUTES; BENEFITS; FEATURES; HEALTH,WOS
239,10.2174/18749445-v16-e230925-2023-108,Pediatrician’s Perception of Air Pollution and its Impact on Children’s Health in Indonesia,Soemarko D.S.; Khoe L.C.; Wasito E.; Basrowi R.W.,2023,,16.0,1,"Introduction: Air pollution is an unseen threat to children's health as it increases the risk of respiratory infection by impairing immune responses to the respiratory tract. Nevertheless, health promotion emphasizing the impact of air pollution is not popular, even among health professionals. Therefore, this study aimed to explore the perceptions of paediatricians regarding its impact on children’s health in Indonesia. Materials and Methods: A cross-sectional design using an online questionnaire was employed in this study. It was composed of 30 items and divided into 4 sections, i.e. section 1 explored the demographic variables, section 2 measured the respondent’s information-seeking behavior on the issue of air pollution, section 3 measured the perception of issues related to air pollution and its impact on children’s health, and section 4 explored the respondent’s experience in practicing environmental health education with respect to their patients. Only completed surveys were analysed. Results: Of the 171 pediatricians who were accessed for the survey, 120 (70.2%) completed it. The majority of respondents (69%) resided in Java island and worked in urban areas (84%). About 41.7% of the respondents had little to no information on the impact of air pollution on children’s health. More than 80% of the respondents received information from scientific articles, followed by seminars (61.5%), the internet (53.8%), colleagues (30.7%), and workshops/training (17.3%). Nearly one-third of the respondents considered air quality as poor in their working environment. Almost all agreed that air pollution can affect children’s health and increase the risk of respiratory allergies and even the risk of skin allergies for children under two years of age. In daily practice, most respondents (53.3%) admitted that they never or rarely treated patients with diseases related to air pollution. About one-third of the respondents (36.7%) had never or rarely asked their patients about their living environment. Conclusion: Pediatricians are aware of the impact of air pollution on the risk of respiratory allergies and infection, and therefore often provide environmental health education to patients. This study has reported that the majority of pediatricians in Indonesia have an understanding of the impact of air pollution on children’s health; however, there is still a lack of health promotion to be communicated to the patients and their families in their daily practice. © 2023 The Author(s). Published by Bentham Science Publisher.",Air pollution; Children’s health; Pediatrician; Pediatricians; Respiratory; Skin allergies,adult; air pollution; air quality; allergic contact dermatitis; Article; child health; cross-sectional study; data analysis; demographics; education; environmental health; female; health care personnel; health education; health promotion; human; immune response; Indonesia; industrial area; inflammatory bowel disease; information seeking; major clinical study; male; pediatrician; perception; pregnancy; questionnaire; respiratory tract allergy; respiratory tract infection; rural area; sample size; urban area; work environment,,Scopus
67,10.1016/j.envint.2018.11.013,"People, place and pollution: Investigating relationships between air quality perceptions, health concerns, exposure, and individual- and area-level characteristics","Reames, TG; Bravo, MA",2019,ENVIRONMENT INTERNATIONAL,122.0,,"An extensive body of research has demonstrated that air pollution exposure is associated with adverse health outcomes. Urban air quality remains a major concern for both public health officials and the general public. In the United States, air quality public awareness campaigns are major efforts of governments at every level. Yet, our understanding of relationships between ambient air pollution exposure, public perceptions of air quality, and concerns about associated health risks is incomplete. We examined 2869 individual responses to annual air quality public awareness surveys administered between 2009 and 2012 in the Kansas City metropolitan area. Our study had three objectives: 1) examine the spatial distribution of PM2.5 and O-3 exposures, pollution perceptions, and pollution health concerns; 2) explore relationships between individual- and area-level characteristics and PM2.5 and O-3 exposure; 3) and examine cross-sectional associations between individual- and area-level characteristics, as well as PM2.5 and O-3 exposures, and pollution perception and pollution health concerns. We found inverse spatial patterns between the distribution of O-3 and PM2.5 exposure levels as well as between areas where respondents perceived air pollution as worsening and areas where residents had higher concern about the health effects of pollution exposure. We also found inverse relationships between individual- and area-level demographic and socioeconomic characteristics and O-3 and PM2.5 exposure. Individual-level characteristics were significantly related to pollution perceptions, while both individual- and area-level characteristics were significantly related to pollution health concerns. Public awareness campaigns should be combined with education on ways the public can protect themselves and tailored explicitly for targeting vulnerable populations (e.g., elderly, and persons with respiratory problems) and areas both socioeconomically vulnerable (e.g., higher racial segregation and poverty) and experiencing higher pollution exposure (e.g., O-3 and PM2.5).",,,TERM OZONE EXPOSURE; PARTICULATE MATTER; PERFORMANCE EVALUATION; HOSPITAL ADMISSIONS; ENVIRONMENTAL RISK; RACIAL ISOLATION; BIRTH-WEIGHT; RACE; MORTALITY; GENDER,WOS
126,10.1016/j.ufug.2017.02.012,"Perceived access to recreational/green areas as an effect modifier of the relationship between health and neighbourhood noise/air quality: Results from the 3rd European Quality of Life Survey (EQLS, 2011-2012)","Dimitrova, DD; Dzhambov, AM",2017,URBAN FORESTRY & URBAN GREENING,23.0,,"The present study tests the hypothesis that better access to recreational/green areas modifies the adverse effects of neighbourhood noise and air quality on health. We re-analysed the cross-national representative sample of the 3rd European Quality of Life Survey (EQLS) (2011-2012). Data were available on self-rated health, neighbourhood noise, air quality, access to recreational/green areas, and other sociodemographic and neighbourhood covariates. The substantive analyses were based on weighted logistic regression with clustered standard errors. Overall, reporting major neighbourhood problems with noise and air quality was associated with higher risk for poor self-rated health, and this risk was higher among participants not using recreational/green areas in their neighbourhood or reporting a difficult access to those areas. There was a statistically significant effect modification across some exposure access scenarios, but it was clearer for air quality than it was for noise. Thus, this exploratory study sets the basis for future research on the subject matter. (C) 2017 Elsevier GmbH. All rights reserved.",Air pollution; Green spaces; Noise exposure; Psychological effect; Recreational areas; Self-rated health,,SELF-RATED HEALTH; AIR-POLLUTION; GREEN SPACES; TRAFFIC NOISE; ANNOYANCE; PERCEPTION; IMPACT; EXPERIENCE; VEGETATION; EXPOSURE,WOS
52,10.1016/j.buildenv.2024.111645,Perceived air quality (PAQ) assessment methods in office buildings: A systematic review towards an indoor smellscape approach,Torriani G.; Torresin S.; Lara-Ibeas I.; Albatici R.; Babich F.,2024,,258.0,,"Indoor air quality (IAQ) has significant impacts on office occupants' productivity, well-being and health. Addressing IAQ not only means ensuring that contaminants are below harmful concentration but also that people exposed are satisfied. However, current standards often lack clear metrics and thresholds dedicated to Perceived Air Quality (PAQ). Therefore, it is important to examine whether there is a prevalent method in the literature that could lead towards standardization. This review study constitutes the first comprehensive critical exploration of the subject. Adopting the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines, the objective is to synthesize and compare diverse methods (subjective vs instrumental evaluations; object of judgment; component of perception; rating scales) for assessing PAQ in office buildings, based on insights from 93 field and laboratory studies. Results show that the assessment of PAQ predominantly relies on questionnaires (90 %), with a very smaller percentage using alternative methods such as olfactory indices, diaries, interviews, sensory testing, and text mining techniques. Workers’ satisfaction is the most commonly evaluated aspect in PAQ questionnaires, often measured on a 7-point Likert scale. Odours are typically characterized in terms of intensity by utilizing a continuous 6-point unidirectional scale. Olfactory stimuli are usually considered with a negative connotation, being the absence of odour the target of IAQ design. The present study proposes a future research agenda that introduces the importance of a perceptual approach to evaluate the indoor olfactory environments (or smellscapes), aiming to create working spaces that are not only odour-neutral but also olfactorily pleasant. © 2024 The Authors",Indoor environmental quality; Odour; Office buildings; Perceived air quality; Smellscape,Air quality; Indoor air pollution; Odors; 'current; Air quality assessment; Diverse methods; Indoor air quality; Indoor environmental quality; Meta-analysis; Perceived air quality; Smellscape; Systematic Review; Well being; air quality; building; environmental assessment; environmental quality; indoor air; literature review; odor; Office buildings,,Scopus
5,10.1007/s00484-018-1614-3,Perceived air quality and particulate matter pollution based on field survey data during a winter period,"Pantavou, K; Psiloglou, B; Lykoudis, S; Mavrakis, A; Nikolopoulos, GK",2018,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,62.0,12,"Outdoor air pollution and especially particulate matter pollution is a major environmental health issue that raises concerns of scientists and policy makers. This study focuses on air quality perception in relation to particulate matter in order to find potential patterns. Field questionnaire-based surveys were conducted among pedestrians on two central sites in the city of Athens, Greece, during the winter period while particulate matter of 10m or less in diameter (PM10) were concurrently measured on-site at 1-min resolution. The participants were asked to evaluate the dust and the overall pollution-related air quality based on 5-point bipolar scales. Air quality perception patterns were explored considering PM10 concentration, meteorological and thermal conditions, and subjective variables including gender, age, smoking status, and health status. An effect of PM10 on dust perception was identified, suggesting that dusty air quality conditions are reported more frequently when particulate concentration increases. Health status, exposure time, smoking status, and gender were found to affect air quality perception. Participants experiencing health symptoms, exposed to outdoor conditions for more than 30min, smokers, and females were more likely to report unfavorable air quality conditions. The comparison with the results of a previous study obtained using air pollution station data confirmed the dependence of air quality perception on participants' characteristics and particularly on their health status. Ordinal logistic regression models showed that for pedestrians who were neither smokers nor experiencing health symptoms and were exposed to outdoor conditions for more than 30min, a PM10 concentration around 64g m( -3) could be a threshold, to perceive dusty air quality conditions.",PM10; Air pollution; Perception; Field survey; Questionnaire,,PM10 MASS CONCENTRATIONS; TEMPORAL VARIATION; THERMAL SENSATION; RISK PERCEPTION; HEALTH; PEDESTRIANS; SYMPTOMS; ATHENS; TEMPERATURE; ENVIRONMENT,WOS
50,10.1016/j.buildenv.2023.110713,Perceived air quality and satisfaction during implementation of an automated indoor air quality monitoring and control system,Son Y.J.; Pope Z.C.; Pantelic J.,2023,,243.0,,"Cooking and cleaning are among the largest sources of home pollutant emissions. To reduce these emissions, we developed an automated indoor air quality (IAQ) control intervention that operated based on real-time sensor readings of particulate matter (PM2.5) and evaluated the perceptual differences between this intervention and a baseline condition. We employed a 14-participant crossover study design in a one-bedroom apartment module. Participants experienced one of two conditions: (1) Advanced Control–automated IAQ interventions including a stove hood, two portable air cleaners, and a bathroom exhaust powered on/off based on predefined PM2.5 thresholds measured by environmental sensors; and (2) Standard Control–participants controlling IAQ interventions (e.g., stove hood) manually. Each condition lasted two weeks. Participants followed standardized cooking and cleaning protocols and filled out surveys assessing psychosocial and perceptual outcomes. Observations indicated that weekly IAQ satisfaction, perception, and preferences were similar between the two conditions—despite lower PM2.5 concentrations during cooking and cleaning for the Advanced Control versus Standard Control Condition. When pairing IAQ complaints with PM2.5 concentrations during cooking, we observed participants made complaints when PM2.5 concentrations >∼80 μg/m3 but few complaints when <∼60 μg/m3. Lower PM2.5 concentrations were observed for the Advanced Control versus Standard Control Condition during cleaning, but these lower concentrations did not appear perceivable by participants due to far lower PM2.5 concentrations during cleaning overall. Our observations suggest a connection between PM2.5 concentration and IAQ complaints made by participants, thereby providing possible thresholds for perceivable IAQ changes. © 2023",Home automation; Indoor air quality; Occupant satisfaction; Perceived air quality,Air cleaners; Automation; Indoor air pollution; Quality control; Advanced control; Air quality control; Condition; Home automation; Indoor air quality; Indoor air quality monitoring; Occupant satisfaction; Perceived air quality; PM 2.5; Quality control system; air quality; concentration (composition); control system; environmental monitoring; indoor air; particulate matter; Air quality,,Scopus
57,10.1016/j.ehb.2018.07.007,"Perceived health risk, environmental knowledge, and contingent valuation for improving air quality: New evidence from the Jinchuan mining area in China","Li, ZT; Hu, B",2018,ECONOMICS & HUMAN BIOLOGY,31.0,,"This study examined people's willingness to pay (WTP) for improving air quality obtained through contingent valuation method (CVM) in the context of the theory of planned behaviour. Following this theory, four indicators were developed to measure people's behavioural intentions for improving air quality; two of these indicators were correlated with contingent valuation survey. Structural equation modelling (SEM) was employed to estimate our Perception-based Behavioural Intention Model (PBIM) by using a cross-sectional data set of 759 residents of the Jinchuan mining area in Gansu Province, China. We found that Jinchuan residents' WTP for improving local air quality was significantly influenced by the perceived health risk of hazardous pollutants, environmental knowledge, socioeconomic status, current health condition, gender, work environment, and proximity to the pollution source. This study shows that SEM outperforms conventional CVM econometrically and in terms of the provision of relevant policy information. (C) 2018 Elsevier B.V. All rights reserved.",Contingent valuation method; Behavioural intention; Perceived health risk; Environmental knowledge; Air pollution; China,"Adult; Age Factors; Aged; Air Pollution; Behavior; China; Cross-Sectional Studies; Environment; Female; Health Knowledge, Attitudes, Practice; Health Status; Humans; Male; Middle Aged; Mining; Models, Econometric; Perception; Risk Assessment; Sex Factors; Socioeconomic Factors; Workplace; Young Adult; adult; air pollution; air quality; article; China; contingent valuation; female; gender; health hazard; human; male; mining; perception; pollutant; resident; social status; structural equation modeling; Theory of Planned Behavior; work environment; age; aged; air pollution; attitude to health; behavior; China; cross-sectional study; economics; environment; health status; middle aged; mining; risk assessment; sex factor; socioeconomics; statistical model; statistics and numerical data; workplace; young adult",WILLINGNESS-TO-PAY; ECONOMIC VALUATION; POLLUTION; PERCEPTION; BEHAVIOR; CONSEQUENCES; PREVALENCE; ATTITUDES; UTILITY; MODELS,WOS
131,10.1038/jes.2016.23,Perception and reality of particulate matter exposure in New York City taxi drivers,"Gany, F; Bari, S; Prasad, L; Leng, J; Lee, T; Thurston, GD; Gordon, T; Acharya, S; Zelikoff, JT",2017,JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,27.0,2,"Exposure to fine particulate matter (PM2.5) and black carbon (BC) have been linked to negative health risks, but exposure among professional taxi drivers is understudied. This pilot study measured drivers' knowledge, attitudes, and beliefs (KAB) about air pollution compared with direct measures of exposures. Roadside and in-vehicle levels of PM2.5 and BC were continuously measured over a single shift on each subject, and exposures compared with central site monitoring. One hundred drivers completed an air pollution KAB questionnaire, and seven taxicabs participated in preliminary in-cab air sampling. Taxicab PM2.5 and BC concentrations were elevated compared with nearby central monitoring. Average PM2.5 concentrations per 15-min interval were 4-49 mu g/ m(3). BC levels were also elevated; reaching > 10 mu g/ m(3). Fifty-six of the 100 drivers surveyed believed they were more exposed than non-drivers; 81 believed air pollution causes health problems. Air pollution exposures recorded suggest that driver exposures would likely exceed EPA recommendations if experienced for 24 h. Surveys indicated that driver awareness of this was limited. Future studies should focus on reducing exposures and increasing awareness among taxi drivers.",air pollution; black carbon; knowledge/attitudes/beliefs; particulate matter; taxi drivers,,HEART-RATE-VARIABILITY; AIR-POLLUTION; PERSONAL EXPOSURE; LUNG-CANCER; PROFESSIONAL DRIVERS; ULTRAFINE PARTICLES; INCREASED RISK; MORTALITY; DISEASE; EXHAUST,WOS
317,10.3390/su14159660,Perception of Risks from Wood Combustion and Traffic Induced Air Pollution: Evidence from Northern Europe,"Orru, K; Tiittanen, P; Ung-Lanki, S; Orru, H; Lanki, T",2022,SUSTAINABILITY,14.0,15,"The health effects of particulate matter, increasing emissions from transportation and requisites for making use of biofuels brings up the need to understand how individuals interpret air-pollution-related risks from wood burning and traffic. We aim to clarify the extent to which perceived risks from road-traffic and wood-smoke can be explained by the individual psychological, social status-related and socio-institutional factors in the case of two Northern European countries, Finland and Estonia. This approach elucidates which of the closely intertwined factors shape the perception of risks from air pollution in different socio-institutional contexts and for different air pollution sources. The study uses data from cross-sectional population surveys conducted among 1112 Finnish and 1000 Estonian residents about environmental health risk perception and coping. Binary logistic regression analysis demonstrated that in both countries' cases, the perceived personal and general risk from traffic exhaust and wood-smoke can be explained by the perception of exposure to pollution and, also, by the level of knowledge of, the worry about and the possible symptoms from environmental health factors. The perceived vulnerability due to poor health further sensitises individuals towards risks from air pollution. Higher trust towards state institutions in guaranteeing a healthy living environment and greater perceived openness about the risks may attenuate the feelings of vulnerability to air pollution risks in Finland compared to Estonia. The ingrained appeal for wood burning may explain the higher acceptance of exhausts from wood-burning compared to traffic. This may lead to scant support for measures to reduce emissions from wood combustion.",perceived risk; traffic exhaust; wood-smoke; cardio-vascular disease; Northern Europe,Air; Estonia; Europe; Finland; Niger [West Africa]; Northern Europe; regression analysis,ENVIRONMENTAL RISK; HEALTH; QUALITY; ANNOYANCE; EXPERIENCE; ESTONIA; IMPACT,WOS
100,10.1016/j.jth.2023.101643,Perception of commuters towards air quality in Delhi,"Meena, KK; Singh, V; Agarwal, A",2023,JOURNAL OF TRANSPORT & HEALTH,31.0,,"Introduction: Deteriorating air quality has a severe impact on human health that urges humans to make choices that can reduce their exposure. This study aims to explore the commuters' perception of how they perceive air quality information and the change in their travel choices to reduce air pollution exposure if air pollution information is provided.Methods: To comprehend the objectives, data was collected from commuters in Delhi using faceto-face questionnaire surveys through an open-source data collection platform.Results: The study findings show that only half of the respondents are aware of the air quality index but do not understand it. Commuters' preference for air pollution exposure in their decision-making for travel is the least, and the lack of any information intervention is the main reason for it. With the availability of information, commuters prefer close transport modes (car, bus, and metro) during severe air quality levels.Conclusion: This finding shows the importance of real-time information in commuters' decisionmaking, and due to the unavailability of any information concerning air pollution exposure, commuters cannot make any decisions that can reduce their exposure during travel.",Air quality; Air pollution exposure; Daily commuters; Travel choices,,POLLUTION; TRANSPORT; EXPOSURE; TRAVEL; HEALTH; RIDERSHIP; BEHAVIOR; IMPACTS; BICYCLE; CHOICE,WOS
234,10.1590/S0036-36342009000200011,Perception of health risks due to air pollution in adolescents in Mexico City,"Catalán-Vázquez, M; Riojas-Rodríguez, H; Jarillo-Soto, EC; Delgadillo-Gutiérrez, HJ",2009,SALUD PUBLICA DE MEXICO,51.0,2,"Objective. Analyze the relations established between air pollution and health-disease-death in a sample of students in Mexico City. Material and methods. Survey of 1 274 students from 14 secondary schools in five areas in Mexico City was conducted between March and April of 2003. We used a multi-stage sampling, based in a basic geostatistical areas (AGEB). Results. A total of 84.4% believed that Mexico City has a high, or very high air pollution; that valuation decreases as it approaches the most immediate place in which the students live. The health risks range from effects on respiratory health, 66.9%, to other effects on daily life, 2.2%. The predictors that air pollution is perceived as serious/very serious are: 1) that they associate it with the possibility of causing death (OR = 1.35, 95% Cl = 1.02-1.77), and 2) that they attend schools located in the La Merced zone, (OR = 2.23, 95% Cl = 1.56-3.21). Conclusions. Determinants of perception, such as gender, zone where the school is located and the differences in air quality perceived in the city/area/schools, suggest that focalizing components must be involved in environmental policies, in order to make environmental programs more effective at the local level.",air pollution; health; social participation; Mexico,,PUBLIC UNDERSTANDINGS; QUALITY; URBAN; GENDER; PREVALENCE; BEHAVIOR; VIEWS; RACE,WOS
163,10.1080/13669877.2016.1264446,Perception of risk from air pollution and reported behaviors: a cross-sectional survey study in four cities,"Oltra, C; Sala, R",2018,JOURNAL OF RISK RESEARCH,21.0,7,"We investigate how public perceptions of air pollution, risk beliefs and self-reported actions to limit personal exposure to ambient air pollution vary across cities. Our analysis also examines the extent to which a number of individual-level variables are associated to self-protective and information-seeking actions due to bad air quality. Data was collected through a questionnaire survey in four cities with a total sample of 1202 inhabitants. We found a moderate variation in the subjective evaluation of local air pollution between cities, as well as in the levels of annoyance and distress due to air pollution. There was relatively little variation in perceived severity, worry and self-reported actions. No variation was found for self-reported attention to air quality levels and controllability beliefs regarding the risks from air pollution. Preliminary modeling of four self-reported actions suggests that self-reported attention to air quality levels and worry are important predictors of self-protective and information seeking behavior. We conclude that both personal and contextual factors have to be taken into account in order to understand public reactions to outdoor urban air pollution. We discuss the implications in terms of risk and health communication.",air pollution; risk perception; awareness; behavioral change; self-protective actions; survey,Air pollution; Air quality; Health risks; Information retrieval; Information use; Quality control; Surveying; Surveys; Ambient air pollution; awareness; Behavioral changes; Cross-sectional surveys; Individual level variables; Information seeking behaviors; Self-protective; Subjective evaluations; Risk perception,QUALITY INFORMATION; PUBLIC PERCEPTIONS; HEALTH; URBAN,WOS
41,10.1016/j.apr.2020.01.010,"Perceptions about air quality of individuals who work outdoors in the San Joaquin Valley, California","Veloz, D; Gonzalez, M; Brown, P; Gharibi, H; Cisneros, R",2020,ATMOSPHERIC POLLUTION RESEARCH,11.0,4,"The San Joaquin valley (SJV) is known for having poor air quality and high rates of respiratory illnesses including asthma. This study was aimed to assess the perceptions about air quality of individuals who work outdoors in the San Joaquin Valley, California. Surveys were conducted with SJV residents (n = 198) to understand attitudes, perceptions of air quality, and behaviors related to air pollution of individuals who work outdoors. The results suggest that people who worry more about air quality tend to check air quality more often. It was found that individuals who suffer from asthma are more likely to check air quality when working and exercising outdoors. In addition, the differences on how people utilize informational sources regarding air quality were observed. Conclusion: Therefore, there is a need to further study attitudes and perceptions about air quality among populations who work outdoors.",Air quality perception; Air quality attitude; Awareness; Asthma; San joaquin valley,,PESTICIDE SAFETY; FARMWORKERS; POLLUTION; ASTHMA; RISK,WOS
2,10.1007/BF00231490,Perceptions and attitudes to air pollution in an asbestos mining town,Thouez J.P.; Singh B.,1984,,8.0,2,"The ever-increasing awareness of the population regarding environmental issues, and especially pollution, is a relatively recent phenomenon. Several authors have considered these relationships within a phenomenological framework. As a preliminary consideration, we have attempted in this study to isolate geographical sectors with variable exposure to air pollution. We have taken readings from seven stations for the period of January 1977 to December 1980; with the help of the difference of means test, we have singled out the significant variants. Based on these findings, we have used the gravity model to determine the strong, average, and weak sectors of exposure to total dust concentration in the air. During the summer of 1980, we submitted a stratified sampling embracing 229 persons, compiled by a telephone questionnaire, with a view to assessing to what extent the population was concerned by pollution in the surrounding air, evaluating public opinion on alternate solutions to resolve this problem, and generally investigating whether the public conscience was sufficiently crystallized to embark upon local environmental protection measures. The Quebec mining town of Thetford Mines, an important centre for asbestos extraction, was used for this investigation. The findings indicate that the population has a generally well-perceived notion of pollution even if water pollution was stressed more than air pollution. However, the perception of air pollution is dependent on distance from the mine and consequently, on exposure sectors to total dust concentration in the air. We assembled, into three groups, some 14 alternate means to attack pollution. The most exposed sector favoured indirect actions, while in other sectors direct measures were accented. Socioeconomic standing and especially education level help explain perceived differences between types of pollution, whereas sex and age are statistically significant for the choice of alternate means. Length of residence has very little influence. Generally, it does not seem that the respondents' opinion are clearly and coherently crystallized. This is understandable if we accept that the respondents appear to dissociate water from air pollution. There therefore exists a lack of apparent agreement between attitudes concerning means and attitudes concerning ends. © 1984 D. Reidel Publishing Company.",,Air quality; Asbestos; Asbestos mines; Environmental protection; Mine dust; ASBESTOS MINES AND MINING - Environmental Impact; Direct measures; Dust concentrations; Environmental issues; Gravity model; Mining towns; Public opinions; Stratified sampling; Pollution; AIR POLLUTION,,Scopus
129,10.1017/S0305741017001382,Perceptions of Quality of Life and Pollution among China's Urban Middle Class: The Case of Smog in Tangshan,"Li, XY; Tilt, B",2018,CHINA QUARTERLY,234.0,,"After decades of rapid economic development, China is facing severe environmental problems. In particular, smog in urban areas has recently attracted a great deal of scientific and media attention both domestically and internationally. Our focus in this article is on public perceptions of smog in the northern city of Tangshan, which is routinely ranked as one of the urban areas with the worst air quality in the nation. In this article, we present the results of qualitative interviews and quantitative surveys with 341 urban residents. We examine how these residents perceive and weigh the importance of various aspects related to quality of life, including their experience with air pollution. Study participants considered environmental quality an issue of lower priority than many others; however, they surprisingly ranked it over economic concerns such as jobs and income. Their responses suggest that, for many urban residents, environmental problems like smog are fundamentally linked to basic quality of life concerns such as physical health and family well-being. We interpret our findings in the context of literature on the rise of China's middle class, the rise of environmental consciousness, and the role of gender in mediating perceptions of pollution and family health. We also consider the implications of these findings for the control and remediation of air pollution in China today.",smog; public perceptions; quality of life; environmental quality; environmental consciousness; middle class; gender; China,China; air quality; class; perception; pollution control; quality of life; smog; urban pollution; urban population,AIR-POLLUTION; ENVIRONMENTAL-PROTECTION; HEALTH; ANTHROPOLOGY; PERSPECTIVES,WOS
42,10.1016/j.atmosenv.2009.07.050,"Perceptions of air pollution during the work-related commute by adults in Queensland, Australia","Badland, HM; Duncan, MJ",2009,ATMOSPHERIC ENVIRONMENT,43.0,36,"Background: This study examines perceived health effect risks from air pollution during the work-related commute by socio-demographic and travel mode variables. Methods: Population-representative survey data were collected by telephone from 745 adults from Queensland, Australia. Variables assessed included socio-demographics, usual work travel mode, commute perceptions, and perceived health effects associated with air pollution during the work-related commute. Results: Approximately 45% of the sample perceived air pollution negatively affected health outcomes when commuting to/from work, yet only 13% recognised air pollution as a major barrier to walking or cycling to/from work. No relationships existed between usual travel mode to/from work and perceived health risks associated with air pollution. Those higher educated or living in major cities were more likely to recognise air pollution harmed their health during their work-related commute when compared to respective referent categories (p <= 0.05). Conclusions: Recognition of health risks from air pollution during the work-related commute was high, and awareness did not differ by travel mode. For the majority, air pollution was not a primary barrier for walking or cycling to/from work. (C) 2009 Elsevier Ltd. All rights reserved.",Risk perception; Air pollution; Commute; Travel mode; Questionnaire,,PERCEIVED HEALTH-RISK; PARTICULATE MATTER; PHYSICAL-ACTIVITY; LAND-USE; EXPOSURE; POPULATION; URBAN; TRANSPORTATION; ASSOCIATIONS; MORTALITY,WOS
