"ID","Title"
580,"Perception of Risks from Wood Combustion and Traffic Induced Air Pollution: Evidence from Northern Europe"
581,"Analyzing the Perception of Indoor Air Quality (IAQ) from a Survey of New Townhouse Residents in Dubai"
582,"Air Pollution in Urban Africa: Understanding Attitudes and Economic Valuation in the Case of Dakar, Senegal"
583,"Assessment of Indoor Air Quality in Small and Medium Food Industries and Effects towards Perceived IAQ Symptoms"
584,"Indoor Air Quality Perception in Built Cultural Heritage in Times of Climate Change"
585,"The Impacts of China’s Resident Tourism Subsidy Policy on the Economy and Air Pollution Emissions"
586,"Regional Differences in Willingness to Pay for Mitigation of Air Pollution from Coal-Fired Power Plants in South Korea"
587,"An Assessment of the Multidimensional Drivers and Determinants of Public Risk Perception of and Behaviors Related to Exposure to Air Pollution in Serbia"
588,"Empowering London Primary School Communities to Know and Tackle Air Pollution Exposure"
589,"Comparative studies on vehicle related policies for air pollution reduction in ten Asian countries"
590,"Tourists' Perception of Haze Pollution and the Potential Impacts on Travel: Reshaping the Features of Tourism Seasonality in Beijing, China"
591,"A Questionnaire Case Study to Investigate Public Awareness of Smog Pollution in China's Rural Areas"
592,"How Smog Awareness Influences Public Acceptance of Congestion Charge Policies"
595,"Air Quality Awareness-Empirical Evidence from a Comparative Perspective between Two European Cities"
604,"Factors influencing health behavior related to particulate matter in older adults"
605,"Factors Influencing Health Behavior Related to Particulate Matter in Older Adults"
611,"Perceptions of air quality in Ljubljana"
613,"Factors influencing protective behaviours during haze episodes in Singapore: A population-based study"
615,"Willingness to pay for reducing the risk of premature mortality attributed to air pollution: a contingent valuation study for Greece"
624,"Encouraging Awareness among Secondary School Students on Air Pollution in Supporting Environmental Protection"
632,"Public Behavior in Korea and China in Acquiring Particulate Matter Information"
644,"Air pollution awareness in the scope of the community service practices course: An interdisciplinary study; [Topluma hizmet uygulamaları dersinde hava kirliliği farkındalığı: Disiplinlerarası bir çalışma]"
658,"Crisis-based information seeking: monitoring versus blunting in the information seeking behaviour of working students during the Southeast Asian Haze Crisis"
663,"How Does News Media Exposure Amplify Publics' Perceived Health Risks About Air Pollution in China? A Conditional Media Effect Approach"
664,"How Does News Media Exposure Amplify Publics’ Perceived Health Risks About Air Pollution in China? A Conditional Media Effect Approach"
666,"Impact of haze on travel mode choice behaviors for private car owners"
677,"PASSING THE TEST - HUMAN-BEHAVIOR AND CALIFORNIA SMOG CHECK PROGRAM"
678,"PRE-SERVICE SCIENCE TEACHERS' KNOWLEDGE LEVEL ABOUT SOME BASIC AIR POLLUTANTS"
686,"Pre-service science teachers' knowledge level about some basiasic air pollutantsollutantsollutants"
690,"Public perception of indoor air quality in China, Belgium and France: the discovery of an invisible enemy"
692,"RESEARCH ON COPING BEHAVIOR OFCOLLEGE STUDENTS' OUTDOOR PHYSICAL EXERCISES IN HAZE WEATHER"
693,"SURVEY OF RESIDENTS' PERCEPTIONS AND CONCERNS ON AIR POLLUTION IN MAHARASHTRA, INDIA"
698,"The Role of Air Quality in Perception of Health of the Local Population"
699,"The effect of selected factors on adaptive behavioural responses to urban air pollution in Malaysia"
702,"The role of air quality in perception of health of the local population"
NA,NA
